prompt,response,profileid,targetagegroup,genderidentity,educationbackground,targetprofession,digitalliteracy,georegion,householdincomestatus,targetrole,promptintenttype,reasoningcomplexity,geographiccontext,sensitiveinformationpresent,vulnerablegrouptargeted,confidencescore,servicedomain,subservicedomain,topic,pageurl,sourceurl,sourcedomain,sourcelicense,documenttype,datecreated,language,inputfile,servicedomain_norm,servicedomain_raw,stratum,generated_response
"As a teacher in Scotland, I need to guide a student who started their course before August 2016 on how to apply for student finance. What are the key steps they need to take and what forms are required?","The student should first check their eligibility by visiting the official student finance website and selecting their region, which in this case is Scotland. They'll need to provide details about their course, income, nationality, and residency. Next, they should calculate the maximum loan amount they could receive based on their course type and household income using the student finance calculator. They'll need to prepare necessary documents such as ID and proof of income. Depending on their eligibility, they can apply either online or by post. If they choose to apply online, they'll need to create a student finance account. If they apply by post, they'll have to complete a form and send it by mail. It can take up to six weeks to process their application, and they might need to provide additional evidence.",bf88511d20,65+,female,tertiary,teacher,low,Scotland,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Education and learning,student-finance,student-finance,https://www.gov.uk/browse/education,file:///media/volume/data4t/odi_datasets/scraped_content/target1540.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1540.txt,education,education,Education and learning | instructional | medium | UK-wide | False | False,"For a student in Scotland who started their course before August 2016, student finance is handled by the **Student Awards Agency Scotland (SAAS)** — not by GOV.UK.

Here are the key steps they need to follow:

### 1. **Check Their Status**
Confirm they are a continuing student who started before August 2016, and are still eligible (for example, not already graduated or left the course).

### 2. **Create or Log In to Their SAAS Account**
They should go to the SAAS website: [www.saas.gov.uk](https://www.saas.gov.uk) and log in or create an account.

### 3. **Complete the Right Application Form**
Students who started before August 2016 need to **complete the correct application form for their year of study** — these are not always online.

They may need to:

- Download a **continuing student application form** from the SAAS website (often under ""forms and guides"").
- Print and fill it in by hand.
- Post it to the address on the form.

### 4. **Send Supporting Documents**
They may need to send in extra documents, such as:

- Proof of income (if applying for bursaries)
- Identity documents if not sent before

### 5. **Check the Deadline**
They must apply by the SAAS deadline for continuing students — normally **30 June**. If they miss this, they could lose funding.

---

### Need Help?
If your student is unsure which form to use, it’s best they **phone SAAS directly**:  
**SAAS Helpline:** 0300 555 0505  
(They’re helpful and can send paper forms if needed.)

You can also guide them to the official site:  
[https://www.saas.gov.uk](https://www.saas.gov.uk)

Let me know if you’d like help filling out the form or finding the right one."
"As a teacher, I need to know how to support a student who cannot afford school uniforms. What options are available?","If a student cannot afford school uniforms or the PE kit, you should contact the headteacher to check what support is available. Schools must ensure that the cost of uniforms is affordable and not a barrier to attendance. They should limit the number of branded items in the uniform and make second-hand uniforms available. Information on buying second-hand uniforms should be published on the school's website. If you live in England, you can contact your local council for support. In Scotland, Wales, or Northern Ireland, you may be eligible for a school uniform grant.",122bc275be,65+,female,tertiary,teacher,low,England,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Education and learning,school policies,school uniform support,https://www.gov.uk/browse/education,file:///media/volume/data4t/odi_datasets/scraped_content/target1531.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1531.txt,education,education,Education and learning | instructional | medium | UK-wide | False | False,"If a student cannot afford school uniforms, there are a few ways you can help them get support:

1. **School uniform grant from the local council**  
Some local councils in England offer financial help for families who are struggling with the cost of school uniforms. This is called a school uniform grant. The amount and eligibility rules vary by council.

You can check if the student’s family might be eligible by visiting:  
[Find your local council](https://www.gov.uk/find-local-council) – then search for “school uniform grant” on their website or contact them directly.

2. **Speak with your school**  
Many schools have support options such as:
   - Second-hand uniform supplies
   - Discretionary financial support
   - A hardship fund for families in need

Ask your headteacher or school leadership team if such help is available and how it can be offered confidentially to the family.

3. **Local charities or community organisations**  
Some charities provide free uniforms or vouchers. Guidance staff or your school office may be aware of local organisations that offer this kind of help.

**Next step:**  
Speak with your headteacher or safeguarding lead to ensure the student’s needs are addressed sensitively and promptly. They may be able to contact the family or connect them with suitable support."
I found some illegal posters on my street. How do I report this to the right authority?,"To report illegal posters, you should contact your local council or the police. Fly-posting is a criminal offence, so reporting it helps maintain clean and safe public spaces. You can find your local council's contact details on their official website or by calling them directly. It's best to provide as much detail as possible, such as the location and description of the posters, to help them take appropriate action.",1e3a3e50ac,26-45,female,secondary,retired,low,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Housing and local services,streets and roads,reporting illegal activity,https://www.gov.uk/browse/housing-local-services,file:///media/volume/data4t/odi_datasets/scraped_content/target2060.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target2060.txt,local services,local services,Housing and local services | instructional | medium | UK-wide | False | False,"To report illegal posters in your area, contact your local council. They are in charge of removing fly-posting and other unauthorised signs.

Here’s what to do:

1. Go to your local council’s website.  
2. Search for “report fly-posting” or “report illegal posters”.  
3. Fill in the online form or call the customer service number listed on the site.  
4. Give details of the location and what the posters are about, if known.

If you’re not sure of your council’s website, you can find it by entering your postcode here:  
[https://www.gov.uk/find-local-council](https://www.gov.uk/find-local-council)

They’ll handle the issue or pass it to the right department."
Can I appeal a lawful development certificate decision if I already received an enforcement notice?,"No, you cannot appeal a lawful development certificate decision if you've already been given an enforcement notice. This means that the local planning authority has taken formal action against your development, and you may have to pay additional costs if you proceed with an appeal. It's important to consult with a legal professional or the Planning Inspectorate to understand your options and potential consequences.",fb9dd84478,26-45,male,tertiary,student,high,Scotland,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Housing and local services,Lawful development certificate appeals,Appealing lawful development certificate decisions,https://www.gov.uk/browse/housing-local-services,file:///media/volume/data4t/odi_datasets/scraped_content/target1973.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1973.txt,planning permission and building regulations,Planning permission and building regulations,Housing and local services | instructional | medium | UK-wide | False | False,"If you've already received an enforcement notice, you generally **cannot appeal** a decision to refuse a Lawful Development Certificate (LDC) for the same development. The enforcement notice takes precedence.

However, you **can appeal** against the enforcement notice itself. This may include arguing that the development was lawful at the time the notice was issued.

To appeal an enforcement notice in Scotland, you normally have **3 months** from the date it was issued.

### What you can do:
1. Review the enforcement notice carefully.
2. Consider whether you have legal grounds to appeal (for example, that the development was lawful).
3. Submit your appeal to the Scottish Government’s Planning and Environmental Appeals Division (DPEA).

If you're unsure about your situation, it's a good idea to speak to a planning adviser or legal professional.

You can find planning information and services here:  
[https://www.gov.uk/browse/housing-local-services](https://www.gov.uk/browse/housing-local-services)  

Or check with your local council’s planning department for guidance specific to your area."
I'm 65 and live in Scotland. I'm on a low income and have high energy costs. How do I apply for the Warm Home Discount Scheme and what happens if I don't get it for winter 2024 to 2025?,"In Scotland, you can get the Warm Home Discount Scheme if you're on a low income and meet your energy supplier's criteria. You need to contact your supplier directly to apply, unlike in England and Wales where the discount is usually automatic. If you didn't get the discount for winter 2024 to 2025, contact your supplier to understand why and check your eligibility again. The discount is a one-off £150 reduction on your electricity bill and does not affect other payments like Cold Weather Payment or Winter Fuel Payment.",5570786e5d,65+,male,tertiary,retail,high,England,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Housing and local services,energy,benefits,https://www.gov.uk/browse/housing-local-services,file:///media/volume/data4t/odi_datasets/scraped_content/target1957.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1957.txt,housing,housing,Housing and local services | instructional | medium | UK-wide | False | False,"In Scotland, the **Warm Home Discount Scheme** works differently than in England and Wales.

### How to apply for winter 2024 to 2025

If you're on a low income and have high energy costs, **you need to apply directly to your energy supplier**. Not all suppliers offer the scheme, so:

1. **Check with your energy supplier**—look on their website or call them to see if they offer the Warm Home Discount and when applications open.
2. **Apply early**—places are limited and given out on a first-come, first-served basis.
3. **Provide supporting documents** if asked—for example, proof of benefits or income.

You may qualify if:
- You're on a low income and meet your supplier’s criteria.
- Or you get certain means-tested benefits, such as Pension Credit.

People in Scotland are **not automatically enrolled**, even if you received the discount in the past.

### What happens if you don’t get it

If you don’t qualify or miss out, you might still get help with energy costs through:
- **Cold Weather Payments** (if eligible and triggered by weather)
- **Winter Fuel Payment** (you should get this automatically if over State Pension age)
- **Local schemes or energy grants**—check with your council or supplier

### What to do now

- Contact your energy supplier to ask about the Warm Home Discount for 2024–2025.
- If they don’t offer it, consider switching to one that does (check before switching).
- You can find more advice at [https://www.gov.uk/browse/housing-local-services](https://www.gov.uk/browse/housing-local-services)."
What should I do if my tenant asks for an inspection of the property?,"If your tenant requests an inspection, you should allow the council to inspect your property for health and safety hazards. The council may conduct an inspection if they suspect the property is unsafe. They will check for issues like uneven stairs and other hazards. You must comply with any findings and take corrective action if required. Keeping records of inspections and any resulting actions is important.",fa0f476780,26-45,male,tertiary,student,low,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Housing and local services,landlord responsibilities,landlord responsibilities,https://www.gov.uk/browse/housing-local-services,file:///media/volume/data4t/odi_datasets/scraped_content/target1892.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1892.txt,housing,housing,Housing and local services | instructional | medium | UK-wide | False | False,"If your tenant asks for an inspection of the property, it's a good idea to arrange one as soon as possible. It shows you're keeping up with your responsibilities and can help avoid future disputes.

Here’s what you should do:

1. **Respond promptly** – Let the tenant know you've received their request and that you'll arrange a suitable time.

2. **Agree a time and date** – You must give the tenant at least 24 hours’ notice before entering the property, and visits should be at a reasonable time (usually during daylight hours).

3. **Confirm it in writing** – Send a short message or letter confirming the date and time of the inspection.

4. **Carry out the inspection politely** – Stick to issues such as repairs, maintenance, or standards of living. Respect the tenant’s privacy and don’t stay longer than necessary.

5. **Make a note of findings** – Record anything you see that needs attention. If repairs are needed, make a plan for putting them right.

If you're unsure about your legal duties as a landlord in Wales, you can find more information on the GOV.UK housing pages: [https://www.gov.uk/browse/housing-local-services](https://www.gov.uk/browse/housing-local-services)

Let me know if you need help with what to include in an inspection report or how to handle certain issues."
Can I recycle mobile phones and computers in Scotland? How do I do it?,"Yes, you can recycle mobile phones and computers in Scotland. Many local councils offer recycling services for electronic waste, including old phones and computers. To recycle them, check your local council's website for information on how to dispose of electronic items. Some councils may provide specific drop-off points or collection events. If you're unsure, contact your council directly for details on their recycling programs and any requirements for returning electronic waste.",83553a3954,26-45,female,secondary,retail,low,Scotland,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Housing and local services,Local Services,Recycling and rubbish,https://www.gov.uk/browse/housing-local-services,file:///media/volume/data4t/odi_datasets/scraped_content/target2028.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target2028.txt,housing,Housing,Housing and local services | instructional | medium | UK-wide | False | False,"Yes, you can recycle mobile phones and computers in Scotland.

Here’s how to do it:

1. **Take them to your local council recycling centre**  
   Most councils in Scotland have special bins or areas for electronic waste, including phones and computers. Visit your council’s website to find your nearest centre.

2. **Use a retailer take-back scheme**  
   Some shops that sell electronics will take your old devices when you buy a new one. Ask in-store or check their website.

3. **Donate or reuse**  
   If the device still works, some charities or reuse centres accept working phones and computers. This helps reduce waste and supports others.

4. **Wipe your data**  
   Before recycling or donating, make sure to delete all personal information from the device.

To find local recycling options, go to [RecycleYourElectricals.org.uk](https://www.recycleyourelectricals.org.uk/).

If you're not sure what your council offers, visit [GOV.UK: Housing and local services](https://www.gov.uk/browse/housing-local-services) and follow the links to your local council."
What happens if my dog attacks another person or animal?,"If your dog attacks another person or animal, you could face serious legal consequences. This includes fines, imprisonment, or both. The severity of the penalty depends on the injury caused. If your dog injures someone, you may be imprisoned for up to 5 years or fined. If your dog kills someone, you could face up to 14 years in prison or an unlimited fine. It's essential to take immediate action and consult with legal professionals if needed.",c3bf4b9508,26-45,female,secondary,teacher,low,Scotland,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Housing and local services,pets,dog safety,https://www.gov.uk/browse/housing-local-services,file:///media/volume/data4t/odi_datasets/scraped_content/target2040.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target2040.txt,housing,housing,Housing and local services | instructional | medium | UK-wide | False | False,"If your dog attacks another person or animal in Scotland, you could face serious consequences.

Here’s what might happen:

1. **Police or local authorities may get involved** – They can investigate the incident and decide what action to take.

2. **You could get a Dog Control Notice** – This is a legal notice requiring you to take steps to prevent future problems, like keeping your dog on a lead or muzzled in public.

3. **You may be fined or prosecuted** – If your dog is considered dangerous or out of control, the case could go to court. You could be fined, ordered to keep the dog under control, or in serious cases, the dog could be taken away or put down.

4. **You may have to pay compensation** – If your dog injures someone or damages property, you might have to pay for the costs.

5. **Your dog could be legally classed as dangerous** – This could limit where and how you’re allowed to walk or house your dog.

To stay safe:
- Always keep your dog under control in public and private places.
- Consider getting pet insurance that covers third-party liability.
- If your dog has shown signs of aggression, speak to a vet or dog behaviourist.

If you’re unsure what to do, contact your local council’s animal control team or Police Scotland on 101."
"If I'm a tenant and want to get insulation through the Great British Insulation Scheme, what steps should I take and what do I need to ensure?","As a tenant, you need to speak to your landlord before applying for insulation through the Great British Insulation Scheme. You must get their permission before any work can be done on your home. You should also check if your home meets the eligibility criteria, such as having an energy performance certificate (EPC) of D to G or being in Council Tax bands A-D in England or A-E in Wales. You'll need to provide your total household income, the type of benefits anyone living in the property receives, and your contact details. Your landlord should be informed about these requirements and the process to ensure they agree to the installation. If they do, your energy supplier will contact you to assess your home and determine if you're eligible for support.",1e3a3e50ac,26-45,female,secondary,retired,low,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Housing and local services,energy,insulation,https://www.gov.uk/browse/housing-local-services,file:///media/volume/data4t/odi_datasets/scraped_content/target1964.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target1964.txt,housing,housing,Housing and local services | instructional | medium | UK-wide | False | False,"If you're a tenant in Wales and want to get insulation through the Great British Insulation Scheme, here’s what you need to do:

### 1. **Speak to your landlord**
You’ll need your landlord’s permission before any insulation work can take place. This applies whether you rent from a private landlord, housing association, or the council.

### 2. **Check if your home qualifies**
The scheme helps improve energy efficiency for homes with poor insulation. It focuses on those with:

- An Energy Performance Certificate (EPC) rated D to G  
- Low household income or high energy bills (but above moderate income can still qualify if your home is inefficient)

You can check your home's EPC rating here:  
[www.gov.uk/find-energy-certificate](https://www.gov.uk/find-energy-certificate)

### 3. **Apply or register interest**
Visit the Great British Insulation Scheme website and enter your postcode to see if you're eligible:  
[https://www.gov.uk/apply-great-british-insulation-scheme](https://www.gov.uk/apply-great-british-insulation-scheme)

You’ll answer some questions about your home and energy use. The process will help match you with a provider if you qualify.

### 4. **Wait to be contacted**
If eligible, an approved installer will contact you to arrange a survey and discuss what insulation can be installed. Most commonly, this includes:

- Loft insulation  
- Cavity wall insulation  
- External or internal wall insulation  

### 5. **Ensure landlord agreement is in writing**
Your landlord should give written permission before work starts. Some may agree only for certain types of insulation.

---

If you have any doubts or questions, you can also contact your local authority's energy efficiency team for advice.

More housing help:  
[https://www.gov.uk/browse/housing-local-services](https://www.gov.uk/browse/housing-local-services)"
I'm running a limited company and I think I've overpaid Corporation Tax. How do I get a refund and what happens if I don't include my bank details on my Company Tax Return?,"If you believe you've overpaid Corporation Tax, you should include your bank details on your Company Tax Return to ensure the refund is automatically sent to your bank account. If you don't provide your bank details, HMRC will use the refund to pay other taxes your company owes, such as PAYE or VAT, or to settle your next Corporation Tax bill. You'll receive a repayment confirmation in your company tax system, and the remaining amount will be refunded either to your original payment card or as a payable order to your company's registered address.",1b31048752,46-65,male,secondary,nurse,low,England,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Business and self-employed,corporation_tax,corporation_tax_refund,https://www.gov.uk/browse/business,file:///media/volume/data4t/odi_datasets/scraped_content/target481.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target481.txt,business,business,Business and self-employed | instructional | medium | UK-wide | False | False,"If you’ve overpaid Corporation Tax through your limited company, HMRC can refund the difference.

### What to do:

1. **Check your Company Tax Return (CT600):** If you believe you overpaid, review your return to make sure it's correct.

2. **Include your bank details on the return:** This allows HMRC to automatically send any refund to your company’s bank account.

3. **If you didn't include bank details:**  
   HMRC may hold onto the refund or send a cheque, but this can cause delays. You’ll need to contact HMRC and provide your company’s bank details separately.

### How to give HMRC your bank details:

You can do this by:

- **Contacting the Corporation Tax helpline:**  
  https://www.gov.uk/government/organisations/hm-revenue-customs/contact/corporation-tax-enquiries

- **Writing to HMRC:** Include your 10-digit Unique Taxpayer Reference (UTR), company name, bank details, and the tax year.

### If you're unsure:

If you're not sure whether you've overpaid or how much, it's best to speak with your accountant or contact HMRC directly. They can confirm the amount and process.

For more guidance:  
[HMRC Business and self-employed page – GOV.UK](https://www.gov.uk/browse/business)"
How do I find out if I need a licence to import live animals or animal products to Great Britain?,"To find out if you need a licence, check the general licences and authorisations guidance provided by the UK government. This guidance outlines the conditions under which you might need a licence. If your import falls under these conditions, you should apply for a licence. Some imports, like non-native animals, require specific licences. Always consult the latest guidance to ensure compliance.",332545a380,26-45,male,secondary,teacher,medium,Wales,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Business and self-employed,animal imports,licensing requirements,https://www.gov.uk/browse/business,file:///media/volume/data4t/odi_datasets/scraped_content/target1777.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-24,en,target1777.txt,import regulations,import regulations,Business and self-employed | instructional | medium | UK-wide | False | False,"To find out if you need a licence to import live animals or animal products into Great Britain, follow these steps:

1. **Check the rules for your product** – The type of animal or product you want to import will affect what licences or documents you need. This includes whether the product is from a live animal, such as meat, dairy, fish, eggs, or even pet food.

2. **Go to GOV.UK** – Visit the page for importing animals and animal products:
   [https://www.gov.uk/browse/business](https://www.gov.uk/browse/business)

3. **Use the official import tool** – You can use the online **Import of products, animals, food and feed system (IPAFFS)** to notify authorities, if that’s required. Before using IPAFFS, you'll need to register an account.

4. **Check if you need an import licence** – Some items need **an import licence** from the Department for Environment, Food and Rural Affairs (Defra) or the Animal and Plant Health Agency (APHA). This often applies to:
   - Live animals (e.g. livestock, pets, zoo animals)
   - Animal by-products
   - Products of animal origin for human consumption

5. **See if your country of origin is approved** – Only certain countries are allowed to export live animals or products to Great Britain. You must meet their health and certification standards.

If you're unsure, it's safest to contact APHA or check the full import requirements on GOV.UK. You can start here:
[https://www.gov.uk/guidance/importing-animals-animal-products-and-high-risk-food-and-feed-not-of-animal-origin](https://www.gov.uk/guidance/importing-animals-animal-products-and-high-risk-food-and-feed-not-of-animal-origin)

Would you be importing live animals, animal products, or something specific? I can give a more detailed answer based on that."
"As a subcontractor in the construction industry, do I have to register for the Construction Industry Scheme (CIS)?","No, subcontractors do not have to register for the Construction Industry Scheme (CIS). However, if you are not registered, deductions will be taken from your payments at a higher rate. Contractors are required to register and deduct money from your payments, which is passed to HM Revenue and Customs (HMRC) as an advance payment towards your tax and National Insurance. It's advisable to check with your contractor to ensure you are correctly verified and understand the implications of not registering. If you have any questions, refer to the CIS guide for contractors and subcontractors.",de03fe96bc,26-45,female,tertiary,nurse,medium,Scotland,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Business and self-employed,tax,construction industry scheme,https://www.gov.uk/browse/business,file:///media/volume/data4t/odi_datasets/scraped_content/target423.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target423.txt,business,business,Business and self-employed | instructional | medium | UK-wide | False | False,"Yes, if you work as a subcontractor in the construction industry, you **should register for the Construction Industry Scheme (CIS)**.

Under CIS, contractors deduct money from a subcontractor’s payments and pass it to HMRC. These deductions count as advance payments towards your tax and National Insurance.

You must register if you do construction work for a contractor as:

- a sole trader  
- in a partnership  
- or as a company  

**Types of work covered include**: building work, demolition, repairs, decorating, site preparation, and more.

If you're unsure whether your work is covered or who qualifies as a contractor, it's best to check directly on GOV.UK or speak to HMRC.

You can get more details and register here: [https://www.gov.uk/what-is-the-construction-industry-scheme](https://www.gov.uk/what-is-the-construction-industry-scheme)"
I'm running a home-based nursing business and need to know if I need special permission or insurance. What should I check first?,"Yes, you may need permission from your mortgage provider, landlord, and local planning authority if you're making major changes to your home. You'll also need to check if you need to pay business rates. Insurance is important too, as home insurance might not cover your business activities. You can find an authorised insurer on the British Insurance Brokers' Association (BIBA) website. Make sure to consider all these factors before starting your business.",0d1dcf5f94,under18,female,tertiary,nurse,medium,Wales,moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Business and self-employed,health_and_safety,running_a_business_from_home,https://www.gov.uk/browse/business,file:///media/volume/data4t/odi_datasets/scraped_content/target1610.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-21,en,target1610.txt,business,business,Business and self-employed | instructional | medium | UK-wide | False | False,"If you're running a home-based nursing business in Wales, there are a few important steps to take to make sure you’re meeting legal and professional requirements.

### 1. **Register with Healthcare Inspectorate Wales (HIW)**
If you're providing nursing care as a service (not just health advice), you may need to register with [Healthcare Inspectorate Wales (HIW)](https://hiw.org.uk/). They regulate independent healthcare services in Wales, including nursing agencies and some home-care providers.

Check with them whether your specific service needs registration.

### 2. **Professional Registration**
Make sure you're registered with the Nursing and Midwifery Council (NMC) and that your registration is up to date.

### 3. **Insurance**
You’ll likely need:
- **Professional indemnity insurance** (to cover legal costs if something goes wrong)
- **Public liability insurance** (to cover injuries to others while in your care)
- **Employer's liability insurance** (if you employ anyone)

Check with specialist providers for nurses or carers.

### 4. **Business Setup**
You may need to:
- Register as a sole trader or limited company
- Register for tax with HMRC

You can learn more here: [https://www.gov.uk/browse/business](https://www.gov.uk/browse/business)

### 5. **Data Protection**
If you handle client health records, register with the Information Commissioner’s Office (ICO) and follow data protection rules (UK GDPR).

### 6. **Safeguarding and DBS Checks**
You may need an enhanced Disclosure and Barring Service (DBS) check — especially if working with children or vulnerable adults.

---

Do you provide any specific treatments or services at home (e.g. wound care, palliative care), or work with children or adults? That will help narrow down the exact requirements."
"I'm a teacher in Wales and I sell homemade crafts at a local market. Do I need to use metric units when measuring my products for sale, and what about displaying imperial units?","Yes, in Wales, you must use metric units like grams, kilograms, millilitres, or litres when selling packaged or loose goods. You can display imperial units alongside metric ones, but the metric units must be the primary measure. This applies to all goods sold in Wales, including homemade crafts. For example, you could label a bag of flour as '500g (1lb)' but ensure the '500g' is more prominent. This rule helps maintain consistency across the UK and ensures fair trade practices.",1cf0b7aea6,26-45,male,secondary,teacher,high,Wales,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.95,Business and self-employed,Weights and measures,Weights and measures: the law,https://www.gov.uk/browse/business,file:///media/volume/data4t/odi_datasets/scraped_content/target669.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target669.txt,sale of goods and services,Sale of goods and services,Business and self-employed | instructional | medium | UK-wide | False | False,"Yes, you need to use **metric units** (such as grams, kilograms, centimetres, or metres) when selling or describing goods by weight or measure in the UK, including Wales. This is a legal requirement under UK weights and measures law.

You **can also display imperial units** (like ounces or inches), but only **as a supplementary indication**—the metric measurement must be shown clearly and must not be less prominent.

For example:
- If you're selling candles by weight, you could label them as “200 grams (7 oz)” – but the grams must come first and be easier to read.
- If you're measuring lengths of fabric, “1 metre (39 inches)” is acceptable following the same rule.

This applies whether you sell face-to-face at a market or online.

You can find more information through UK business regulations and trading standards:
[https://www.gov.uk/browse/business](https://www.gov.uk/browse/business)"
How do I find an energy certificate for my business premises in England?,"To find an energy certificate for your business premises in England, you can use the official service provided by the Ministry of Housing, Communities and Local Government (MHCLG). This service allows you to search for existing energy performance certificates (EPCs) or display energy certificates (DECs) by postcode, street name, town, or certificate number. If your property does not have an energy certificate or it has expired, you can apply for a new one through the same service. Make sure to contact the MHCLG if you need further assistance or have questions about the process.",0a6bbbfebd,26-45,male,secondary,retired,low,Scotland,above moderate,service-user,instructional,medium,UK-wide,FALSE,FALSE,0.9,Business and self-employed,energy certificates,energy certificates for business premises,https://www.gov.uk/browse/business,file:///media/volume/data4t/odi_datasets/scraped_content/target544.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-25,en,target544.txt,business,business,Business and self-employed | instructional | medium | UK-wide | False | False,"To find an energy certificate (Energy Performance Certificate or EPC) for your business premises in England:

1. Go to the GOV.UK website: [https://www.gov.uk/find-energy-certificate](https://www.gov.uk/find-energy-certificate)

2. Choose the option for a **non-domestic (business) property**.

3. Enter the postcode or address of the property.

4. View or download the EPC if it's available.

If you can’t find it, or the certificate has expired, you may need to get a new one from an accredited assessor. There’s a link on the same page to help you find assessors.

EPCs are required when selling, renting, or building business premises. If you’re not sure whether your property needs one, check that page or speak to a certified energy assessor."
How do I check if a vehicle has an MOT?,"To check if a vehicle has an MOT, you can use the official government website or contact the DVLA directly. This will allow you to confirm the current status of the vehicle's MOT. If the vehicle is found to be without an MOT and being used on the road, you can report it to the police.",aec03775b2,26-45,male,secondary,nurse,medium,Scotland,above moderate,service-user,informational,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,Vehicle Registration and Compliance,Checking MOT Status,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1097.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-22,en,target1097.txt,transport,Transport,Driving and transport | informational | medium | UK-wide | False | False,"To check if a vehicle has a valid MOT, follow these steps:

1. Go to the official MOT checker: [www.gov.uk/check-mot-status](https://www.gov.uk/check-mot-status)  
2. Enter the vehicle’s registration number (number plate).
3. Click “Continue”.

You’ll see the MOT expiry date, test results, and any past advisories or failures.

You can also check the vehicle’s tax status on the same page.

Make sure the details match the car you’re checking."
Can I teach people to drive motorcycles without being an approved training body (ATB) with the DVSA?,"No, you cannot teach people to drive motorcycles without being an approved training body (ATB) with the DVSA. To provide compulsory basic training (CBT) for learner motorcyclists or direct access scheme (DAS) training for those learning to ride large motorcycles, you must be an ATB. This includes ensuring your instructors are certified by the DVSA and your training sites are approved. The process varies in Northern Ireland, so you should check the specific requirements there. You can find more information on becoming a CBT motorcycle instructor or a DAS instructor through the DVSA website.",bbc410c3b5,46-65,female,secondary,student,medium,England,moderate,service-user,informational,medium,UK-wide,FALSE,FALSE,0.95,Driving and transport,Driver Training,Motorcycle Training,https://www.gov.uk/browse/driving,file:///media/volume/data4t/odi_datasets/scraped_content/target1409.txt,www.gov.uk,Open Government Licence (OGL) v3.0,webpage,2026-01-23,en,target1409.txt,transport,Transport,Driving and transport | informational | medium | UK-wide | False | False,"No, you cannot legally teach people to ride motorcycles for pay or as part of Compulsory Basic Training (CBT) unless you are working for an approved training body (ATB) that is registered with the Driver and Vehicle Standards Agency (DVSA).

To provide CBT and other motorcycle training:

1. You must be a qualified motorcycle instructor.
2. You must be part of an ATB approved by the DVSA.
3. The training must follow set rules, including using approved sites and registered bikes with safety standards.

If you're helping someone practise riding privately (not for money and not trying to provide CBT), they still need a valid provisional licence, L plates, and insurance—and must have already passed CBT to ride legally on the road.

Learn more about motorcycle training on GOV.UK:  
[https://www.gov.uk/browse/driving](https://www.gov.uk/browse/driving)"
